from;to;type;endDate
/tutorial/o-que-preciso-fazer-para-mudar-o-dominio-da-minha-loja--frequentlyAskedQuestions_626;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/tutorial/how-can-i-change-the-domain-of-my-store--frequentlyAskedQuestions_626;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/tutorial/como-cambiar-el-dominio-de-la-tienda--frequentlyAskedQuestions_626;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/tutorial/o-que-preciso-fazer-para-mudar-o-dominio-da-minha-loja;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/tutorial/how-can-i-change-the-domain-of-my-store;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/tutorial/como-cambiar-el-dominio-de-la-tienda;https://help.vtex.com/tutorial/configurando-dominios-no-gerenciamento-da-conta--tutorials_2450;permanent;
/known-issues/estoque-reservado-em-pedidos-faturados--TfDOKEybi6eSAEoCEEAqg;https://help.vtex.com/pt/tutorial/como-a-reserva-funciona--tutorials_92;permanent;
/faq/como-funciona-el-healthcheck-de-vtex;https://help.vtex.com/tutorial/como-funciona-el-healthcheck-de-vtex;permanent;
v4/docs/planner-pagina-calendario--6GESJ17RFvGrvF9JqToron;/tutorial/planner-pagina-calendario-beta--46wSZ7Z5xoXQPP0xHfIx9C;permanent;
/tutorial/como-consultar-lancamentos-futuros--68OOSWWMyZ0xACmuQg3Inw;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/faq/ver-el-contenido-de-los-archivos-css-de-la-tienda;https://help.vtex.com/tutorial/ver-el-contenido-de-los-archivos-css-de-la-tienda;permanent;
/v4/docs/visao-geral-produtos--5Aq3VcT9G9AeIAKFmHaf0u;https://help.vtex.com/pt/tutorial/visao-geral-catalogo--FFrumKPYFpvIWKRXfhQYp;permanent;
/tutorial/visao-geral-logistics--tutorials_143;https://help.vtex.com/pt/tutorial/fulfillment-logistica-vtex--53udnvI5eBy8DKo8FOjMoP;permanent;
/tutorial/como-utilizar-el-control-de-titulo-de-pagina--6bOB5ZtqesCKCEkYUUsIC8;https://developers.vtex.com/vtex-developer-docs/docs/how-to-use-the-page-title-control;permanent;
/faq/como-saber-qual-pagina-do-sistema-esta-sendo-renderizada-no-site;https://help.vtex.com/tutorial/como-saber-qual-pagina-do-sistema-esta-sendo-renderizada-no-site;permanent;
